document_verification_id,document_id,customer_id,verification_date,verification_provider,document_authenticity_status,name_match_status,date_of_birth_match_status,expiry_check_status,verification_score,verification_status
DV000001,DOC000001,CUST00001,2024-05-14,Onfido,Authentic,Matched,Matched,Expired,98.27,Verified
DV000002,DOC000002,CUST00001,2026-03-15,Internal KYC Engine,Authentic,Matched,Matched,Valid,80.19,Verified
DV000003,DOC000003,CUST00002,2025-03-18,Internal KYC Engine,Authentic,Matched,Matched,Expired,99.15,Verified
DV000004,DOC000004,CUST00002,2024-01-25,Persona,Authentic,Matched,Matched,Valid,95.46,Verified
DV000005,DOC000005,CUST00003,2024-08-30,Onfido,Authentic,Matched,Matched,Valid,93.8,Verified
DV000006,DOC000006,CUST00003,2024-09-15,Onfido,Authentic,Matched,Matched,Valid,85.55,Verified
DV000007,DOC000007,CUST00004,2026-05-27,Onfido,Authentic,Matched,Matched,Expired,97.57,Verified
DV000008,DOC000008,CUST00004,2025-08-05,Onfido,Authentic,Matched,Matched,Valid,90.13,Verified
DV000009,DOC000009,CUST00005,2025-09-06,Onfido,Authentic,Matched,Matched,Valid,81.44,Verified
DV000010,DOC000010,CUST00005,2025-11-20,Persona,Authentic,Matched,Matched,Valid,99.11,Verified
DV000011,DOC000011,CUST00006,2026-01-05,Internal KYC Engine,Authentic,Matched,Matched,Expired,99.2,Verified
DV000012,DOC000012,CUST00006,2025-05-13,Internal KYC Engine,Authentic,Matched,Matched,Valid,95.2,Verified
DV000013,DOC000013,CUST00007,2025-11-28,Persona,Authentic,Matched,Matched,Valid,93.72,Verified
DV000014,DOC000014,CUST00007,2026-03-05,Onfido,Authentic,Matched,Matched,Valid,80.91,Verified
DV000015,DOC000015,CUST00008,2026-09-24,Onfido,Under Review,Matched,Matched,Review Required,61.82,Pending
DV000016,DOC000016,CUST00008,2026-03-25,Manual Review,Authentic,Matched,Matched,Valid,92.88,Verified
DV000017,DOC000017,CUST00009,2024-04-30,Onfido,Authentic,Matched,Matched,Valid,98.86,Verified
DV000018,DOC000018,CUST00009,2026-06-18,Manual Review,Authentic,Matched,Matched,Valid,90.93,Verified
DV000019,DOC000019,CUST00010,2025-05-09,Manual Review,Authentic,Matched,Matched,Expired,85.26,Verified
DV000020,DOC000020,CUST00010,2024-09-13,Persona,Authentic,Matched,Matched,Expired,90.02,Verified
DV000021,DOC000021,CUST00011,2025-08-14,Internal KYC Engine,Authentic,Matched,Matched,Valid,93.24,Verified
DV000022,DOC000022,CUST00011,2026-02-06,Persona,Authentic,Matched,Matched,Valid,91.62,Verified
DV000023,DOC000023,CUST00012,2026-03-15,Manual Review,Authentic,Matched,Matched,Valid,80.41,Verified
DV000024,DOC000024,CUST00012,2024-11-17,Internal KYC Engine,Authentic,Matched,Matched,Valid,89.17,Verified
DV000025,DOC000025,CUST00013,2025-03-22,Persona,Authentic,Matched,Matched,Valid,86.56,Verified
DV000026,DOC000026,CUST00013,2024-01-23,Onfido,Authentic,Matched,Matched,Valid,92.66,Verified
DV000027,DOC000027,CUST00014,2026-02-16,Internal KYC Engine,Authentic,Matched,Matched,Valid,89.86,Verified
DV000028,DOC000028,CUST00014,2026-03-12,Persona,Authentic,Matched,Matched,Valid,85.1,Verified
