employment_id,customer_id,employment_status,employer_name,job_title,industry,monthly_income,salary_transfer_bank,length_of_employment_months,source_of_funds,source_of_wealth,monthly_liabilities
EMP000001,CUST00001,Employed,Global Services,Technician,Real Estate,26911.01,Mashreq,107,Salary,Employment Income,3924.89
EMP000002,CUST00002,Employed,Metro Trading,Business Owner,Logistics,30699.4,Mashreq,80,Salary,Employment Income,4882.75
EMP000003,CUST00003,Employed,Metro LLC,Sales Executive,Education,16755.1,FAB,101,Salary,Employment Income,6302.92
EMP000004,CUST00004,Employed,Metro Group,Teacher,Retail,36519.95,FAB,87,Salary,Employment Income,13630.5
EMP000005,CUST00005,Employed,Emirates Holdings,Nurse,Banking,30797.37,ADCB,163,Salary,Employment Income,6206.96
EMP000006,CUST00006,Self-Employed,Self-Employed,Business Owner,Government,54817.28,Dubai Islamic Bank,212,Business Income,Business Ownership,14732.92
EMP000007,CUST00007,Self-Employed,Self-Employed,Business Owner,Technology,44116.44,Mashreq,176,Business Income,Business Ownership,24184.63
EMP000008,CUST00008,Employed,Gulf Holdings,Engineer,Construction,43308.21,Dubai Islamic Bank,40,Salary,Employment Income,6374.85
EMP000009,CUST00009,Self-Employed,Self-Employed,Business Owner,Construction,46699.11,FAB,104,Business Income,Business Ownership,16441.97
EMP000010,CUST00010,Employed,Emirates LLC,Teacher,Healthcare,41035.95,Mashreq,145,Salary,Employment Income,14748.94
EMP000011,CUST00011,Employed,Global Trading,Teacher,Government,19859.05,Mashreq,128,Salary,Employment Income,8300.43
EMP000012,CUST00012,Employed,Al Noor LLC,Business Owner,Healthcare,44563.71,Emirates NBD,70,Salary,Employment Income,16260.83
EMP000013,CUST00013,Employed,Al Noor LLC,Manager,Hospitality,19786.73,Mashreq,131,Salary,Employment Income,4039.45
EMP000014,CUST00014,Employed,Al Noor Group,Sales Executive,Construction,6218.58,Mashreq,166,Salary,Employment Income,2173.05
EMP000015,CUST00015,Employed,Al Noor Holdings,Nurse,Healthcare,14706.67,Mashreq,60,Salary,Employment Income,1709.56
EMP000016,CUST00016,Employed,Al Noor LLC,Driver,Healthcare,20854.56,FAB,67,Salary,Employment Income,2524.0
EMP000017,CUST00017,Employed,Global Holdings,Manager,Logistics,10187.95,FAB,119,Salary,Employment Income,3424.61
EMP000018,CUST00018,Student,,Student,Education,1686.44,,0,Family Support,Family Support,84.17
EMP000019,CUST00019,Employed,Metro Holdings,Driver,Banking,27551.99,FAB,107,Salary,Employment Income,5500.11
EMP000020,CUST00020,Employed,Metro Group,Accountant,Government,13175.72,Emirates NBD,163,Salary,Employment Income,2045.46
EMP000021,CUST00021,Employed,Emirates Holdings,Business Owner,Logistics,11610.82,Mashreq,108,Salary,Employment Income,3879.02
EMP000022,CUST00022,Employed,Global Holdings,Accountant,Education,39022.55,ADCB,56,Salary,Employment Income,5142.47
EMP000023,CUST00023,Employed,Global Holdings,Software Developer,Retail,20490.68,ADIB,128,Salary,Employment Income,1378.76
EMP000024,CUST00024,Employed,Gulf Holdings,Nurse,Hospitality,9203.3,Mashreq,170,Salary,Employment Income,3326.1
EMP000025,CUST00025,Student,,Student,Education,3901.89,,0,Family Support,Family Support,598.26
EMP000026,CUST00026,Employed,Al Noor Services,Technician,Banking,28542.52,ADIB,49,Salary,Employment Income,5438.46
EMP000027,CUST00027,Employed,Gulf Group,Teacher,Hospitality,7922.98,Dubai Islamic Bank,52,Salary,Employment Income,537.96
EMP000028,CUST00028,Student,,Student,Education,1031.2,,0,Family Support,Family Support,99.82
EMP000029,CUST00029,Self-Employed,Self-Employed,Business Owner,Hospitality,53746.76,Emirates NBD,62,Business Income,Business Ownership,6345.71
EMP000030,CUST00030,Employed,Emirates Services,Sales Executive,Technology,28408.88,Dubai Islamic Bank,153,Salary,Employment Income,6599.66
EMP000031,CUST00031,Employed,Prime Trading,Nurse,Logistics,42370.36,ADCB,42,Salary,Employment Income,2859.61
EMP000032,CUST00032,Employed,Prime Group,Teacher,Retail,28993.15,ADCB,108,Salary,Employment Income,6378.32
EMP000033,CUST00033,Employed,Emirates Services,Teacher,Technology,39091.64,Emirates NBD,108,Salary,Employment Income,17091.21
EMP000034,CUST00034,Employed,Emirates Group,Technician,Hospitality,4909.0,FAB,89,Salary,Employment Income,539.58
EMP000035,CUST00035,Employed,Gulf Services,Manager,Logistics,9692.68,ADIB,17,Salary,Employment Income,1042.83
EMP000036,CUST00036,Self-Employed,Self-Employed,Business Owner,Banking,14102.28,FAB,237,Business Income,Business Ownership,6159.13
EMP000037,CUST00037,Self-Employed,Self-Employed,Business Owner,Technology,50166.64,Dubai Islamic Bank,130,Business Income,Business Ownership,5957.35
EMP000038,CUST00038,Employed,Gulf Trading,Engineer,Retail,17087.48,ADIB,136,Salary,Employment Income,1478.47
EMP000039,CUST00039,Employed,Metro Services,Engineer,Healthcare,39649.52,FAB,51,Salary,Employment Income,11091.55
