review_id,customer_id,review_date,review_type,previous_kyc_status,new_kyc_status,reviewer_name,review_decision,review_comments
REV000001,CUST00001,2025-02-06,Enhanced Review,Expired,Rejected,KYC Analyst 1,Pending,
REV000002,CUST00002,2025-12-12,Periodic Review,Pending,Expired,KYC Analyst 1,Escalated,
REV000003,CUST00003,2026-07-12,Initial Review,Pending,Approved,KYC Analyst 1,Approved,
REV000004,CUST00004,2025-06-17,Periodic Review,Approved,Pending,KYC Analyst 1,Pending,
REV000005,CUST00005,2026-08-14,Enhanced Review,Pending,Approved,KYC Analyst 1,Approved,
REV000006,CUST00006,2024-08-15,Enhanced Review,Approved,Approved,Compliance Officer,Approved,
REV000007,CUST00007,2025-10-03,Enhanced Review,Expired,Approved,KYC Analyst 2,Approved,
REV000008,CUST00008,2025-04-20,Periodic Review,Pending,Approved,KYC Analyst 2,Approved,
REV000009,CUST00009,2025-08-12,Enhanced Review,Approved,Approved,KYC Analyst 1,Approved,
REV000010,CUST00010,2026-02-28,Periodic Review,Pending,Approved,KYC Analyst 2,Approved,
REV000011,CUST00011,2026-06-09,Periodic Review,Approved,Approved,KYC Analyst 2,Approved,
REV000012,CUST00012,2024-07-03,Initial Review,Approved,Approved,KYC Analyst 1,Approved,
REV000013,CUST00013,2025-08-15,Enhanced Review,Expired,Pending,KYC Analyst 2,Pending,
REV000014,CUST00014,2025-03-27,Periodic Review,Expired,Approved,KYC Analyst 2,Approved,
REV000015,CUST00015,2025-08-29,Enhanced Review,Approved,Approved,KYC Analyst 2,Approved,
REV000016,CUST00016,2024-08-07,Enhanced Review,Approved,Approved,KYC Analyst 2,Approved,
REV000017,CUST00017,2026-12-07,Initial Review,Pending,Approved,KYC Analyst 2,Approved,
REV000018,CUST00018,2026-11-09,Initial Review,Pending,Approved,KYC Analyst 2,Approved,
REV000019,CUST00019,2026-08-23,Enhanced Review,Pending,Approved,KYC Analyst 2,Approved,
REV000020,CUST00020,2024-04-17,Periodic Review,Pending,Approved,Compliance Officer,Approved,
REV000021,CUST00021,2024-04-30,Initial Review,Approved,Approved,Compliance Officer,Approved,
REV000022,CUST00022,2026-11-30,Enhanced Review,Pending,Rejected,Compliance Officer,Rejected,
REV000023,CUST00023,2024-03-24,Enhanced Review,Approved,Pending,Compliance Officer,Rejected,
REV000024,CUST00024,2026-10-19,Enhanced Review,Pending,Approved,Compliance Officer,Approved,
REV000025,CUST00025,2025-04-22,Initial Review,Expired,Approved,KYC Analyst 2,Approved,
REV000026,CUST00026,2026-02-07,Enhanced Review,Pending,Approved,KYC Analyst 2,Approved,
REV000027,CUST00027,2025-10-13,Initial Review,Pending,Approved,KYC Analyst 2,Approved,
REV000028,CUST00028,2024-06-07,Enhanced Review,Pending,Approved,KYC Analyst 2,Approved,
REV000029,CUST00029,2025-12-09,Initial Review,Approved,Pending,Compliance Officer,Rejected,
REV000030,CUST00030,2025-03-19,Enhanced Review,Pending,Approved,KYC Analyst 1,Approved,
REV000031,CUST00031,2024-12-03,Periodic Review,Pending,Pending,Compliance Officer,Rejected,
REV000032,CUST00032,2026-02-15,Periodic Review,Expired,Approved,Compliance Officer,Approved,
REV000033,CUST00033,2025-04-14,Periodic Review,Expired,Approved,Compliance Officer,Approved,
REV000034,CUST00034,2026-03-02,Initial Review,Approved,Approved,KYC Analyst 1,Approved,
REV000035,CUST00035,2024-03-09,Enhanced Review,Approved,Approved,Compliance Officer,Approved,
REV000036,CUST00036,2024-10-16,Periodic Review,Pending,Approved,KYC Analyst 2,Approved,
REV000037,CUST00037,2026-08-13,Enhanced Review,Expired,Pending,KYC Analyst 1,Pending,
REV000038,CUST00038,2025-01-29,Enhanced Review,Expired,Pending,KYC Analyst 2,Rejected,
REV000039,CUST00039,2025-12-27,Enhanced Review,Approved,Approved,Compliance Officer,Approved,
REV000040,CUST00040,2025-08-06,Initial Review,Expired,Approved,KYC Analyst 2,Approved,
REV000041,CUST00041,2026-11-20,Periodic Review,Pending,Approved,Compliance Officer,Approved,
REV000042,CUST00042,2026-12-23,Initial Review,Expired,Approved,Compliance Officer,Approved,
REV000043,CUST00043,2024-06-14,Enhanced Review,Approved,Pending,Compliance Officer,Rejected,
REV000044,CUST00044,2026-10-14,Periodic Review,Approved,Approved,KYC Analyst 1,Approved,
REV000045,CUST00045,2026-01-12,Periodic Review,Approved,Approved,Compliance Officer,Approved,
REV000046,CUST00046,2026-11-28,Enhanced Review,Pending,Approved,Compliance Officer,Approved,
REV000047,CUST00047,2026-05-25,Initial Review,Expired,Approved,KYC Analyst 2,Approved,
REV000048,CUST00048,2024-04-17,Initial Review,Pending,Approved,KYC Analyst 1,Approved,
REV000049,CUST00049,2026-04-26,Periodic Review,Pending,Approved,KYC Analyst 1,Approved,
REV000050,CUST00050,2025-01-13,Initial Review,Pending,Approved,KYC Analyst 2,Approved,
REV000051,CUST00051,2025-02-18,Periodic Review,Approved,Pending,KYC Analyst 2,Pending,
