application_id,customer_id,product_type,application_date,application_channel,application_status,requested_amount,approved_amount,approved_limit,rejection_reason,decision_date
APP000001,CUST00001,Card,2025-04-17,Mobile App,Pending,123047.33,,,,2025-04-21
APP000002,CUST00001,Remittance,2024-06-15,Branch,Approved,,,,,2024-06-21
APP000003,CUST00001,Card,2025-12-03,Web,Submitted,131339.38,,,,2025-12-06
APP000004,CUST00002,Account,2024-03-09,Branch,Approved,,,,,2024-03-19
APP000005,CUST00002,Account,2024-05-09,Branch,Rejected,,,,,2024-05-20
APP000006,CUST00003,Loan,2025-02-05,Web,Approved,12880.02,11923.47,,,2025-02-19
APP000007,CUST00003,Account,2026-02-19,Branch,Approved,,,,,2026-03-05
APP000008,CUST00003,Remittance,2026-04-05,Mobile App,Approved,,,,,2026-04-11
APP000009,CUST00004,Card,2024-01-20,Branch,Approved,5651.69,,2232.4,,2024-02-01
APP000010,CUST00004,Loan,2024-11-09,Branch,Approved,57327.48,39265.93,,,2024-11-12
APP000011,CUST00004,Loan,2025-10-28,Mobile App,Pending,30764.05,,,,2025-11-03
APP000012,CUST00005,Wallet,2024-12-08,Branch,Submitted,,,,,2024-12-20
APP000013,CUST00006,Loan,2026-11-03,Agent,Rejected,43357.93,,,Low credit score,2026-11-11
APP000014,CUST00007,Loan,2024-05-02,Web,Pending,7582.61,,,,2024-05-14
APP000015,CUST00007,Wallet,2026-06-22,Agent,Approved,,,,,2026-06-27
APP000016,CUST00007,Card,2024-12-24,Web,Pending,55831.95,,,,2025-01-04
APP000017,CUST00008,Loan,2025-10-18,Agent,Approved,75664.07,55305.78,,,2025-11-01
APP000018,CUST00008,Wallet,2025-01-13,Branch,Rejected,,,,,2025-01-16
APP000019,CUST00008,Wallet,2024-04-06,Web,Submitted,,,,,2024-04-12
APP000020,CUST00009,Remittance,2024-06-20,Mobile App,Approved,,,,,2024-06-26
APP000021,CUST00009,Wallet,2025-01-13,Branch,Approved,,,,,2025-01-21
APP000022,CUST00010,Account,2026-10-02,Agent,Approved,,,,,2026-10-13
APP000023,CUST00011,Account,2025-06-18,Branch,Rejected,,,,,2025-06-22
APP000024,CUST00011,Wallet,2024-03-18,Agent,Approved,,,,,2024-03-21
APP000025,CUST00011,Remittance,2025-01-06,Web,Pending,,,,,2025-01-11
APP000026,CUST00011,Account,2026-11-11,Web,Approved,,,,,2026-11-18
APP000027,CUST00012,Remittance,2025-08-07,Web,Approved,,,,,2025-08-18
APP000028,CUST00012,Loan,2026-05-02,Web,Approved,126386.44,113431.37,,,2026-05-06
APP000029,CUST00012,Wallet,2025-12-09,Branch,Approved,,,,,2025-12-11
APP000030,CUST00012,Loan,2024-01-12,Web,Approved,122497.13,116003.05,,,2024-01-16
APP000031,CUST00013,Card,2025-05-27,Web,Approved,84622.55,,40689.34,,2025-06-06
APP000032,CUST00014,Account,2026-08-21,Web,Approved,,,,,2026-08-25
APP000033,CUST00014,Loan,2025-02-26,Web,Pending,41684.53,,,,2025-02-27
APP000034,CUST00015,Card,2024-02-11,Mobile App,Submitted,18621.65,,,,2024-02-22
APP000035,CUST00015,Card,2024-07-04,Agent,Pending,97505.17,,,,2024-07-05
APP000036,CUST00016,Account,2026-08-16,Web,Approved,,,,,2026-08-23
APP000037,CUST00016,Wallet,2026-05-02,Branch,Rejected,,,,,2026-05-07
APP000038,CUST00017,Remittance,2025-04-24,Web,Rejected,,,,,2025-04-30
APP000039,CUST00017,Remittance,2025-06-18,Agent,Rejected,,,,,2025-06-29
APP000040,CUST00017,Remittance,2025-12-27,Web,Submitted,,,,,2026-01-05
APP000041,CUST00018,Account,2024-10-24,Mobile App,Approved,,,,,2024-11-02
APP000042,CUST00018,Loan,2024-06-13,Mobile App,Approved,70204.3,44516.44,,,2024-06-19
APP000043,CUST00018,Loan,2025-04-07,Branch,Rejected,123306.92,,,KYC not approved,2025-04-09
APP000044,CUST00019,Remittance,2025-12-03,Branch,Approved,,,,,2025-12-12
APP000045,CUST00019,Loan,2026-11-30,Agent,Approved,34561.97,33344.4,,,2026-12-12
APP000046,CUST00020,Card,2024-12-07,Agent,Approved,35769.31,,13501.31,,2024-12-10
APP000047,CUST00021,Account,2025-06-19,Agent,Approved,,,,,2025-06-22
APP000048,CUST00022,Remittance,2024-02-28,Branch,Approved,,,,,2024-03-05
APP000049,CUST00022,Account,2025-10-24,Branch,Approved,,,,,2025-10-29
APP000050,CUST00022,Account,2024-04-13,Web,Approved,,,,,2024-04-25
APP000051,CUST00022,Wallet,2024-02-29,Branch,Approved,,,,,2024-03-09
APP000052,CUST00023,Account,2024-02-18,Mobile App,Approved,,,,,2024-03-01
APP000053,CUST00023,Remittance,2025-04-27,Web,Approved,,,,,2025-05-06
APP000054,CUST00024,Loan,2025-06-29,Branch,Rejected,9781.58,,,Insufficient income,2025-07-04
APP000055,CUST00024,Loan,2024-07-05,Mobile App,Approved,141884.92,121530.17,,,2024-07-19
APP000056,CUST00025,Card,2025-08-29,Branch,Rejected,62746.4,,,Low credit score,2025-09-10
APP000057,CUST00025,Loan,2024-07-13,Web,Approved,54611.24,42331.04,,,2024-07-26
APP000058,CUST00025,Loan,2024-04-30,Agent,Approved,115837.66,84426.0,,,2024-05-13
APP000059,CUST00026,Account,2024-09-02,Branch,Rejected,,,,,2024-09-04
APP000060,CUST00027,Loan,2024-08-14,Web,Rejected,11308.11,,,KYC not approved,2024-08-19
APP000061,CUST00027,Card,2025-01-21,Branch,Rejected,66030.55,,,Incomplete documents,2025-01-24
APP000062,CUST00028,Remittance,2024-08-05,Web,Rejected,,,,,2024-08-14
APP000063,CUST00028,Loan,2025-07-23,Web,Approved,69535.06,52099.52,,,2025-07-29
