remittance_id,customer_id,transfer_date,destination_country,transfer_amount,exchange_rate,transfer_fee,transfer_status,channel
REM0000001,CUST00629,2024-10-26,Pakistan,2459.58,75.801585,56.64,Pending,Partner
REM0000002,CUST00387,2024-06-16,Jordan,7637.69,32.063993,31.77,Failed,Mobile App
REM0000003,CUST00476,2024-09-04,Philippines,2967.5,70.51303,69.14,Completed,Partner
REM0000004,CUST00913,2025-07-10,Bangladesh,326.58,82.963281,16.78,Completed,Partner
REM0000005,CUST00817,2025-08-24,Philippines,6436.94,58.520681,5.63,Completed,Partner
REM0000006,CUST00503,2025-06-22,Egypt,1718.12,10.58422,25.36,Completed,Mobile App
REM0000007,CUST00356,2026-10-02,Nepal,7052.71,60.570259,29.15,Completed,Partner
REM0000008,CUST00692,2024-06-01,Philippines,3333.31,9.511067,52.51,Completed,Branch
REM0000009,CUST00095,2024-01-25,India,7055.78,68.651225,45.96,Completed,Mobile App
REM0000010,CUST00635,2026-05-29,Sri Lanka,4833.46,49.483679,48.86,Completed,Mobile App
REM0000011,CUST00075,2024-09-15,Philippines,6804.71,28.05438,8.96,Completed,Branch
REM0000012,CUST00577,2025-09-15,Nepal,7309.6,7.694789,61.63,Completed,Mobile App
REM0000013,CUST00660,2024-02-15,Jordan,3810.42,83.13476,73.52,Completed,Mobile App
REM0000014,CUST00951,2024-03-17,Pakistan,2723.92,78.604562,66.69,Failed,Mobile App
REM0000015,CUST00775,2025-03-26,Egypt,6088.88,55.490332,21.63,Completed,Partner
REM0000016,CUST00940,2024-12-14,Philippines,2520.82,72.553747,18.32,Completed,Mobile App
REM0000017,CUST00675,2024-01-12,Philippines,4204.8,8.500251,5.5,Completed,Partner
REM0000018,CUST00509,2026-02-12,Bangladesh,1980.89,19.686933,5.79,Completed,Partner
REM0000019,CUST00003,2026-11-20,Yemen,6155.75,37.088826,44.28,Completed,Partner
REM0000020,CUST00170,2024-03-24,Pakistan,4497.52,19.867352,20.85,Completed,Branch
REM0000021,CUST00607,2025-10-18,Sri Lanka,7479.71,45.875815,10.43,Completed,Mobile App
REM0000022,CUST00669,2025-11-23,Sri Lanka,4848.44,24.328834,33.39,Completed,Branch
REM0000023,CUST00179,2026-12-08,Philippines,5678.15,38.274765,17.74,Completed,Branch
REM0000024,CUST00270,2024-03-06,Sri Lanka,2889.66,55.280048,29.57,Completed,Branch
REM0000025,CUST00264,2024-10-13,Egypt,878.16,19.780897,73.13,Completed,Mobile App
REM0000026,CUST00542,2024-07-31,Nepal,7179.4,14.318281,7.14,Completed,Mobile App
REM0000027,CUST00587,2026-05-13,Sri Lanka,756.33,34.546878,55.92,Completed,Branch
REM0000028,CUST00506,2025-02-10,Sri Lanka,5340.87,74.594225,16.72,Completed,Branch
REM0000029,CUST00311,2026-10-13,Philippines,4270.25,81.818955,67.08,Completed,Branch
REM0000030,CUST00880,2025-01-12,Nepal,4683.79,78.993069,13.26,Pending,Branch
REM0000031,CUST00146,2026-12-08,Sri Lanka,6006.71,59.356631,31.3,Completed,Mobile App
REM0000032,CUST00475,2026-02-17,Sri Lanka,2533.24,75.234473,46.89,Completed,Branch
REM0000033,CUST00499,2026-03-16,Jordan,1079.39,33.766737,5.85,Completed,Partner
REM0000034,CUST00525,2026-07-08,Pakistan,7384.75,54.113018,63.21,Failed,Branch
REM0000035,CUST00905,2025-12-01,Pakistan,1797.55,66.63966,73.27,Completed,Branch
REM0000036,CUST00871,2026-03-29,Philippines,1399.42,13.802436,72.67,Completed,Partner
REM0000037,CUST00013,2025-11-26,Egypt,2113.09,42.106143,62.35,Completed,Branch
REM0000038,CUST00925,2026-01-28,Sri Lanka,5918.29,30.150211,24.71,Completed,Branch
REM0000039,CUST00470,2026-02-26,India,3954.25,10.636508,51.2,Completed,Mobile App
REM0000040,CUST00087,2026-01-12,Egypt,6911.26,49.731752,32.95,Completed,Partner
REM0000041,CUST00399,2026-10-18,Jordan,2181.67,55.436599,22.12,Completed,Partner
REM0000042,CUST00414,2025-05-24,Jordan,6410.87,4.19764,69.35,Pending,Mobile App
REM0000043,CUST00585,2024-05-06,India,2597.97,11.262741,7.59,Pending,Partner
REM0000044,CUST00911,2025-04-24,Jordan,741.79,69.171514,53.82,Failed,Partner
REM0000045,CUST00215,2026-10-14,Egypt,1769.71,55.190028,71.92,Completed,Branch
REM0000046,CUST00919,2024-11-07,Pakistan,2184.83,79.041021,67.15,Completed,Mobile App
REM0000047,CUST00833,2026-12-06,Jordan,3340.6,49.314502,15.64,Completed,Partner
REM0000048,CUST00058,2026-10-16,Nepal,7625.36,28.845836,10.98,Completed,Partner
REM0000049,CUST00722,2024-02-19,Pakistan,3451.32,13.112779,49.24,Completed,Branch
REM0000050,CUST00156,2024-12-15,Pakistan,6075.37,48.544808,60.21,Completed,Branch
REM0000051,CUST00100,2025-08-25,Egypt,715.6,12.327891,67.08,Completed,Partner
REM0000052,CUST00011,2024-05-10,Philippines,2309.95,51.447637,22.08,Completed,Partner
REM0000053,CUST00123,2025-07-23,Pakistan,563.66,39.540658,44.21,Completed,Mobile App
REM0000054,CUST00155,2024-10-18,Philippines,6209.82,45.39437,29.26,Completed,Mobile App
REM0000055,CUST00758,2024-06-16,Jordan,3320.76,75.126818,65.38,Completed,Branch
REM0000056,CUST00390,2024-05-30,Jordan,1315.85,11.221651,67.19,Completed,Mobile App
REM0000057,CUST00893,2026-03-24,Sri Lanka,5644.94,61.627327,17.21,Completed,Mobile App
REM0000058,CUST00804,2026-03-09,Nepal,4022.41,82.616619,5.16,Completed,Mobile App
REM0000059,CUST00865,2025-11-02,Nepal,7938.05,82.670934,63.58,Completed,Branch
REM0000060,CUST00063,2025-04-22,India,6962.32,62.658329,34.98,Completed,Partner
REM0000061,CUST00062,2025-11-03,Sri Lanka,333.02,73.703758,25.69,Completed,Mobile App
REM0000062,CUST00720,2026-04-11,Nepal,7606.74,15.399492,25.61,Completed,Partner
REM0000063,CUST00094,2026-12-18,Egypt,7235.95,84.206662,52.42,Completed,Mobile App
REM0000064,CUST00241,2024-01-13,Philippines,3724.16,2.119868,68.52,Failed,Mobile App
REM0000065,CUST00671,2026-09-25,Sri Lanka,5621.62,79.087076,7.07,Completed,Partner
REM0000066,CUST00499,2025-05-22,Nepal,5025.45,8.829998,70.04,Completed,Partner
REM0000067,CUST00760,2026-11-28,Philippines,5557.35,64.716713,25.81,Completed,Branch
REM0000068,CUST00782,2024-08-19,Nepal,7816.73,5.825189,9.97,Completed,Mobile App
REM0000069,CUST00783,2024-04-21,Pakistan,626.75,12.954594,41.04,Completed,Partner
REM0000070,CUST00775,2026-12-22,Bangladesh,4361.5,16.899168,36.01,Completed,Mobile App
REM0000071,CUST00128,2025-07-25,Nepal,7935.85,71.77763,34.08,Completed,Partner
REM0000072,CUST00001,2025-07-05,India,5985.76,20.200204,25.03,Completed,Mobile App
REM0000073,CUST00930,2026-07-20,India,316.98,1.946694,59.93,Completed,Mobile App
REM0000074,CUST00801,2026-05-30,Jordan,6423.51,6.090814,69.66,Completed,Partner
REM0000075,CUST00081,2024-05-14,Philippines,5357.72,82.699282,22.57,Completed,Branch
REM0000076,CUST00224,2026-08-23,Egypt,4188.67,32.892982,11.86,Completed,Mobile App
REM0000077,CUST00977,2024-07-05,Nepal,3837.37,52.786196,53.94,Completed,Branch
REM0000078,CUST00581,2025-02-18,Sri Lanka,7949.22,76.19375,38.91,Completed,Mobile App
REM0000079,CUST00872,2026-02-18,Bangladesh,4051.78,72.502722,33.22,Completed,Branch
REM0000080,CUST00078,2026-05-26,Philippines,7360.85,13.859343,55.82,Completed,Branch
REM0000081,CUST00800,2024-10-13,Nepal,5585.32,1.875253,57.54,Completed,Branch
REM0000082,CUST00625,2026-01-30,Jordan,7893.77,68.656372,58.37,Failed,Mobile App
REM0000083,CUST00080,2025-11-28,Sri Lanka,965.38,40.47187,5.43,Completed,Mobile App
REM0000084,CUST00505,2025-02-12,Nepal,7738.1,67.630589,24.09,Completed,Partner
REM0000085,CUST00096,2025-11-09,Pakistan,6923.14,37.687886,29.66,Failed,Partner
