repayment_id,loan_id,customer_id,due_date,payment_date,due_amount,paid_amount,repayment_status,days_past_due
RPY0000001,LOAN000001,CUST00003,2025-03-14,,662.41,0.0,Missed,60
RPY0000002,LOAN000001,CUST00003,2025-04-13,2025-04-23,662.41,662.41,Late,10
RPY0000003,LOAN000001,CUST00003,2025-05-13,2025-05-13,662.41,662.41,Paid,0
RPY0000004,LOAN000001,CUST00003,2025-06-12,2025-06-12,662.41,662.41,Paid,0
RPY0000005,LOAN000001,CUST00003,2025-07-12,2025-07-12,662.41,662.41,Paid,0
RPY0000006,LOAN000001,CUST00003,2025-08-11,2025-08-11,662.41,662.41,Paid,0
RPY0000007,LOAN000001,CUST00003,2025-09-10,2025-09-10,662.41,662.41,Paid,0
RPY0000008,LOAN000001,CUST00003,2025-10-10,2025-10-10,662.41,662.41,Paid,0
RPY0000009,LOAN000001,CUST00003,2025-11-09,2025-11-09,662.41,662.41,Paid,0
RPY0000010,LOAN000001,CUST00003,2025-12-09,2025-12-09,662.41,662.41,Paid,0
RPY0000011,LOAN000001,CUST00003,2026-01-08,2026-01-08,662.41,662.41,Paid,0
RPY0000012,LOAN000001,CUST00003,2026-02-07,2026-02-07,662.41,662.41,Paid,0
RPY0000013,LOAN000001,CUST00003,2026-03-09,2026-03-09,662.41,662.41,Paid,0
RPY0000014,LOAN000001,CUST00003,2026-04-08,2026-04-08,662.41,662.41,Paid,0
RPY0000015,LOAN000001,CUST00003,2026-05-08,2026-05-08,662.41,662.41,Paid,0
RPY0000016,LOAN000001,CUST00003,2026-06-07,2026-06-07,662.41,662.41,Paid,0
RPY0000017,LOAN000001,CUST00003,2026-07-07,2026-07-07,662.41,662.41,Paid,0
RPY0000018,LOAN000001,CUST00003,2026-08-06,2026-08-06,662.41,662.41,Paid,0
RPY0000019,LOAN000002,CUST00004,2024-12-15,2024-12-15,1636.08,1636.08,Paid,0
RPY0000020,LOAN000002,CUST00004,2025-01-14,2025-01-14,1636.08,1636.08,Paid,0
RPY0000021,LOAN000002,CUST00004,2025-02-13,2025-02-13,1636.08,1636.08,Paid,0
RPY0000022,LOAN000002,CUST00004,2025-03-15,2025-03-15,1636.08,1636.08,Paid,0
